"relative_path","bytes","sha256"
"code/src/corruptions/__pycache__/faults.cpython-39.pyc","5298","bed5438e82a919142fb9f182e85b2048dae6d5a791ce71a1e8f46ec604b348f0"
"code/src/corruptions/faults.py","6378","c8ff091c29ca76f4043e037ec4aa09dfb8f22a3aab5a4f7019dffe02c72c9214"
"code/src/datasets/__pycache__/leakage_free_split.cpython-39.pyc","6990","894e1d3a82db4432eb5eafebf75c81e1f7ca0119229d434d4f7df44ddbfbc4cd"
"code/src/datasets/__pycache__/traffic_dataset.cpython-39.pyc","7288","74875d9a44d5a239e03c0f47de0d6e33ec9e88edb18644e8cf529ad3523f06d7"
"code/src/datasets/leakage_free_split.py","6856","bc36aa81e0fd91016ceba3e8af60877b36582d41880d72e89e895968727d68be"
"code/src/datasets/traffic_dataset.py","7638","562d8a2536f56f649b5d4a0ac8197c7737f7ca1f41ee0f083335b48bda7c1e11"
"code/src/metrics/__pycache__/regression.cpython-39.pyc","1803","3ac8dc1c4bceca3fac6e6023de2fdab3cd8529e4e7865711f85e03dd5063fe8b"
"code/src/metrics/regression.py","1451","ef34858de1a6b9f94d8bb4a308745a1018bf2140497fc8bb9c9c0ae1bcbaed41"
"code/src/models/__pycache__/baselines.cpython-39.pyc","1104","b1e1e6d366dbb6541ee2b8f355d130f2584956692c208fd536bb33201329aab9"
"code/src/models/__pycache__/residual_models.cpython-39.pyc","13351","7e527782606956694b8529367654ebe9c37cd618e223ab796ce36a02b84176f9"
"code/src/models/__pycache__/residual_models_v2.cpython-39.pyc","9448","4d57cb36f4d016c3fee0a6d9014a11f75478dee913af9ad3322bb6b0b5b06fb7"
"code/src/models/__pycache__/residual_models_v3.cpython-39.pyc","9193","96c87553d6fba455450c3716479fe544d9b25850b1f41f80873e5852061036dd"
"code/src/models/__pycache__/sraf.cpython-39.pyc","4195","26b89d04b4301df6ea65419c9c09ca86c3015cb78313dee6cd2325edb4e1c888"
"code/src/models/__pycache__/strong_backbones.cpython-39.pyc","12435","b67d74d26d414efabb7faf565d75bd8e8cf1781c3b53c0605e42b166b9532ce1"
"code/src/models/__pycache__/strong_backbones_v2.cpython-39.pyc","3146","4dd82924a0e4454a84cec4c4b7c9cc3e950056edd482d21f59b4547c90149065"
"code/src/models/__pycache__/strong_backbones_v3.cpython-39.pyc","3368","32c73be7c8d147579e0860d8fbd18e33018355fdbf4981e6cfead7a4d4c67eb3"
"code/src/models/baselines.py","752","234fd64d74ffbaac8f1bd6017f23643987592781a0a2a3f4755fba8424f6b4fe"
"code/src/models/residual_models.py","21602","0a4418d0ab35dd0aeec5a02c7aa29801a140135f5ab8c8ebed5a0131b852a195"
"code/src/models/residual_models_v2.py","15961","40a5d1f939fe404f4c7103348771dd8162ff345637e71d5e129656f219fcf15b"
"code/src/models/residual_models_v3.py","13725","3b9cba692a64daa67804255900ed4624d2e909534405af77b9b39ae6fb475f30"
"code/src/models/sraf.py","4986","bfdd589a70c521b5e990a2bc07190fabe5ed95fe3ecf4795bbd174bda66543be"
"code/src/models/strong_backbones.py","16479","d5b5a8062d41bc36a71c5eca9337b9ebcfb9429029f4b4a61432d87ecc1bfd5e"
"code/src/models/strong_backbones_v2.py","4349","7ecfec764e5fa8c88959760da67a34dbc44ca1c5bc1a4820b15881b163caa364"
"code/src/models/strong_backbones_v3.py","3987","7801aaf77d280dbea66ecbf3f8b2bce1178a545d51bc48db261508a655355bab"
"code/src/utils/io.py","309","6e72ba6bfad3fc9c3e68eb4102d6d904a12e267a4bb2ea914f2e0cf9879639f2"
"code/src/utils/profiling.py","199","9853e10755a3fc7f41bee5653cbbe613400964617cfb8b8e86efd3b04323c08d"
"code/src/utils/seed.py","255","09cee9f912741aec262f42cd57029a8e09e491f6afc76d7e183be2e7cd0305d6"
"code/tools/revision/build_final_revision_evidence.py","35034","a622b60d6157b778c5897e46dbb847a55a84d1720d956672111c3e7e71d4b94c"
"code/tools/revision/regenerate_publication_figures_20260801.py","3324","6c62efbc9d7727f317f6f11620ec5cba282170f78f09c3f44076168f9c2ba840"
"code/tools/revision/run_final_architecture_ablation.py","9081","7bfe91ed388b8f5f50648162094f8ab6ba34be66c669a5a7e94a43f3280c0d5e"
"code/tools/revision/run_reviewer_diagnostics.py","16729","ecba469737faccb318be0d53ea37920bf540d87bc6560f5b4091c7171d0a78e3"
"code/tools/revision/run_reviewer_experiments.py","19447","4517b7db1ff9410b012495e22a4e730c87d2e21c6928d85622f6cbfc1901d8ee"
"code/tools/revision/test_final_model_boundaries.py","3710","c9a10e2065c52ceb8d90d3c921cebb74fa025aade9b9bc13807c7a37c60afb33"
"code/tools/revision/test_reviewer_boundaries.py","2922","15640955d730af36e3e3c449f48db630cbe7ca3d1962bc34b56917853c548d70"
"configs/metr_la_forecast_only_reference_config.json","943","e7c6d3199f35d72a73086a37bc9e9977522cdac8aaf4fdbb96f5d640743b1507"
"configs/pems_bay_forecast_only_reference_config.json","944","3db25e536d7928377f1950d53465fe10e4e357fa1d457952a1489fd941c978c1"
"evidence/audit/architecture_ablation_objective_audit.csv","31771","a38f6bbf2289c4307c7e71eccc15d7d4a3ffff0ff9bebb9bee9cbdf846ea003f"
"evidence/audit/environment.json","848","e8d05b60bfd2b9c1c1a040a919dd0c4455cf04ba07156edf310618f4bc4f10cc"
"evidence/audit/fault_mask_boundary_test.txt","267","941604d0745cc0d1246bfc982981a84d1bcafbd053e1f331e937e929103f016c"
"evidence/audit/final_completeness_check.csv","930","ee7baa4f7bd24e0ba263ef324d11a9be73d090af31e2854a5ba76f9233f4cda2"
"evidence/audit/final_model_forward_signature.txt","260","cdab8babc3ff6e67685680dd49ef5d0349cc7b19d2f880185956a46689c1b958"
"evidence/audit/final_model_loss_test.txt","119","335f21830d42064c04775fd06a63cffd8fc2dce491ba95ab925084c1ecf2b7a4"
"evidence/audit/old_value_residual_scan.csv","192","b18b7a87a8b1bcd44ad7a7cd39bcc44c409416482418a62be4f6f12ff46501dd"
"evidence/audit/source_artifact_inventory.csv","25846","44bad7491bfe5e06305f99ebb7621e386e38f5e115e4b1265be9a650c985f6bd"
