dataset,variant,seed,config_path,checkpoint_path,repair_loss_weight,uses_repair_loss,uses_fault_mask_in_loss,clean_and_six_faults_complete,protocol_match,reuse_allowed,rerun_required,reason
metr_la,temporal_only_forecast_only,42,scripts/run_final_submission_experiments.py + run_manifest config_hash,E:\paper_projects\sensors_faulty_sensor_paper\experiments\final_submission_leakage_free_v1\formal\METR-LA\Temporal-only\seed_42\best_checkpoint.pt,0.05,True,True,True,False,False,True,old formal ablation used repair_loss_weight=0.05; final comparison requires forecast-only objective
metr_la,temporal_only_forecast_only,43,scripts/run_final_submission_experiments.py + run_manifest config_hash,E:\paper_projects\sensors_faulty_sensor_paper\experiments\final_submission_leakage_free_v1\formal\METR-LA\Temporal-only\seed_43\best_checkpoint.pt,0.05,True,True,True,False,False,True,old formal ablation used repair_loss_weight=0.05; final comparison requires forecast-only objective
metr_la,temporal_only_forecast_only,44,scripts/run_final_submission_experiments.py + run_manifest config_hash,E:\paper_projects\sensors_faulty_sensor_paper\experiments\final_submission_leakage_free_v1\formal\METR-LA\Temporal-only\seed_44\best_checkpoint.pt,0.05,True,True,True,False,False,True,old formal ablation used repair_loss_weight=0.05; final comparison requires forecast-only objective
metr_la,temporal_only_forecast_only,45,scripts/run_final_submission_experiments.py + run_manifest config_hash,E:\paper_projects\sensors_faulty_sensor_paper\experiments\final_submission_leakage_free_v1\formal\METR-LA\Temporal-only\seed_45\best_checkpoint.pt,0.05,True,True,True,False,False,True,old formal ablation used repair_loss_weight=0.05; final comparison requires forecast-only objective
metr_la,temporal_only_forecast_only,46,scripts/run_final_submission_experiments.py + run_manifest config_hash,E:\paper_projects\sensors_faulty_sensor_paper\experiments\final_submission_leakage_free_v1\formal\METR-LA\Temporal-only\seed_46\best_checkpoint.pt,0.05,True,True,True,False,False,True,old formal ablation used repair_loss_weight=0.05; final comparison requires forecast-only objective
metr_la,temporal_only_forecast_only,47,scripts/run_final_submission_experiments.py + run_manifest config_hash,E:\paper_projects\sensors_faulty_sensor_paper\experiments\final_submission_leakage_free_v1\formal\METR-LA\Temporal-only\seed_47\best_checkpoint.pt,0.05,True,True,True,False,False,True,old formal ablation used repair_loss_weight=0.05; final comparison requires forecast-only objective
metr_la,temporal_only_forecast_only,48,scripts/run_final_submission_experiments.py + run_manifest config_hash,E:\paper_projects\sensors_faulty_sensor_paper\experiments\final_submission_leakage_free_v1\formal\METR-LA\Temporal-only\seed_48\best_checkpoint.pt,0.05,True,True,True,False,False,True,old formal ablation used repair_loss_weight=0.05; final comparison requires forecast-only objective
metr_la,temporal_only_forecast_only,49,scripts/run_final_submission_experiments.py + run_manifest config_hash,E:\paper_projects\sensors_faulty_sensor_paper\experiments\final_submission_leakage_free_v1\formal\METR-LA\Temporal-only\seed_49\best_checkpoint.pt,0.05,True,True,True,False,False,True,old formal ablation used repair_loss_weight=0.05; final comparison requires forecast-only objective
metr_la,temporal_only_forecast_only,50,scripts/run_final_submission_experiments.py + run_manifest config_hash,E:\paper_projects\sensors_faulty_sensor_paper\experiments\final_submission_leakage_free_v1\formal\METR-LA\Temporal-only\seed_50\best_checkpoint.pt,0.05,True,True,True,False,False,True,old formal ablation used repair_loss_weight=0.05; final comparison requires forecast-only objective
metr_la,temporal_only_forecast_only,51,scripts/run_final_submission_experiments.py + run_manifest config_hash,E:\paper_projects\sensors_faulty_sensor_paper\experiments\final_submission_leakage_free_v1\formal\METR-LA\Temporal-only\seed_51\best_checkpoint.pt,0.05,True,True,True,False,False,True,old formal ablation used repair_loss_weight=0.05; final comparison requires forecast-only objective
metr_la,spatial_only_forecast_only,42,scripts/run_final_submission_experiments.py + run_manifest config_hash,E:\paper_projects\sensors_faulty_sensor_paper\experiments\final_submission_leakage_free_v1\formal\METR-LA\Spatial-only\seed_42\best_checkpoint.pt,0.05,True,True,True,False,False,True,old formal ablation used repair_loss_weight=0.05; final comparison requires forecast-only objective
metr_la,spatial_only_forecast_only,43,scripts/run_final_submission_experiments.py + run_manifest config_hash,E:\paper_projects\sensors_faulty_sensor_paper\experiments\final_submission_leakage_free_v1\formal\METR-LA\Spatial-only\seed_43\best_checkpoint.pt,0.05,True,True,True,False,False,True,old formal ablation used repair_loss_weight=0.05; final comparison requires forecast-only objective
metr_la,spatial_only_forecast_only,44,scripts/run_final_submission_experiments.py + run_manifest config_hash,E:\paper_projects\sensors_faulty_sensor_paper\experiments\final_submission_leakage_free_v1\formal\METR-LA\Spatial-only\seed_44\best_checkpoint.pt,0.05,True,True,True,False,False,True,old formal ablation used repair_loss_weight=0.05; final comparison requires forecast-only objective
metr_la,spatial_only_forecast_only,45,scripts/run_final_submission_experiments.py + run_manifest config_hash,E:\paper_projects\sensors_faulty_sensor_paper\experiments\final_submission_leakage_free_v1\formal\METR-LA\Spatial-only\seed_45\best_checkpoint.pt,0.05,True,True,True,False,False,True,old formal ablation used repair_loss_weight=0.05; final comparison requires forecast-only objective
metr_la,spatial_only_forecast_only,46,scripts/run_final_submission_experiments.py + run_manifest config_hash,E:\paper_projects\sensors_faulty_sensor_paper\experiments\final_submission_leakage_free_v1\formal\METR-LA\Spatial-only\seed_46\best_checkpoint.pt,0.05,True,True,True,False,False,True,old formal ablation used repair_loss_weight=0.05; final comparison requires forecast-only objective
metr_la,spatial_only_forecast_only,47,scripts/run_final_submission_experiments.py + run_manifest config_hash,E:\paper_projects\sensors_faulty_sensor_paper\experiments\final_submission_leakage_free_v1\formal\METR-LA\Spatial-only\seed_47\best_checkpoint.pt,0.05,True,True,True,False,False,True,old formal ablation used repair_loss_weight=0.05; final comparison requires forecast-only objective
metr_la,spatial_only_forecast_only,48,scripts/run_final_submission_experiments.py + run_manifest config_hash,E:\paper_projects\sensors_faulty_sensor_paper\experiments\final_submission_leakage_free_v1\formal\METR-LA\Spatial-only\seed_48\best_checkpoint.pt,0.05,True,True,True,False,False,True,old formal ablation used repair_loss_weight=0.05; final comparison requires forecast-only objective
